name,start_date,end_date,region,track,url,has_guide,available_places
Долины и взгорья,2014-01-03,2014-01-08,Crimea,Симферополь - Сосновка - красная тропа - пещ. Эмине Баир Хосар - Чатыр Даг - в. Эклизи Бурун 1527 м. - Ангар богаз - Долина привидений - в. Южн. Демерджи 1239 м. - вдп. Джурла - Хапхальское ущелье - вдп. Джур джур - в. Такья Тепе 1253 м. -  плато Караби - второй спуск - Чигенитра - озеро Хун - Рыбачье,http://ho4uvpohod.com/zimnie-pohodi/zimnii-pokhod-po-krimu-po-dolinam-i-po-vzgoryam,yes,10
Зимний Судак,2014-01-03,2014-01-08,Crimea,Симферополь - Судак - Судакская крепость - Сокол - Новый Свет - Манджил - Эчки Даг - Лисья бухта - Алчак - Судак - Симферополь,http://ho4uvpohod.com/zimnie-pohodi/zimniy-sudak,yes,10
Зимний Поп-Иван,2014-01-24,2014-01-26,Carpathian,с. Дземброня — г. Смотрич (1898 г.) — г. Поп-Иван Черногорский (2020 м) — г. Смотрич — с. Дземброня,http://ho4uvpohod.com/zimnie-pohodi/zimniy-pop-ivan,yes,10
Зимний Поп-Иван,2014-02-07,2014-02-09,Carpathian,с. Дземброня — г. Смотрич (1898 г.) — г. Поп-Иван Черногорский (2020 м) — г. Смотрич — с. Дземброня,http://ho4uvpohod.com/zimnie-pohodi/zimniy-pop-ivan,yes,10
Хомяк + Синяк,2014-02-14,2014-02-16,Carpathian,Ивано-Франковск - полонина Хомякив - гора Хомяк - гора Синяк - гора Малый Горган - полонина Бладжив - Буковель - Ивано-Франковск,http://ho4uvpohod.com/zimnie-pohodi/zimnii-pokhod-po-karpatam-khomyak-sinyak,yes,10
Annapurna Base Camp,2014-02-28,2014-03-14,Nepal,Катманду - Покхара - Наяпул - Горепани - Пун Хилл - Тадапани - Чомронг - Базовый лагерь Мачапучаре - Базовый лагерь Аннапурны - Чомронг - Наяпул - Покхара - Патан - Катманду,http://ho4uvpohod.com/ekzoticheskie-pohodi/treking-po-nepalu-k-bazovomu-lageryu-annapurni,yes,10
Around Annapurna :),2014-02-28,2014-03-21,Nepal,Катманду - Бхульбхуле - Сянге - Чаме - нижний писанг - Мананг - озеро Тиличо - перевал Торонг Ла - Джомсон - Татопани - Горепани - Пун Хилл - горячие источники - Покхара - Катманду,http://ho4uvpohod.com/ekzoticheskie-pohodi/treking-v-nepal-vokrug-annapurny,yes,10
Зимний Мармарош,2014-03-07,2014-03-10,Carpathian,с. Деловое — р. Белый Поток — ур. Обниж — пол. Лысыча — пол. Квасний — г. Берлебашка 1733 м. — г. Поп-Иван Мармарошский 1937 м. — г. Петрос 1780 м. — Радомир Грунь — г. Квасный — с. Богдан,http://ho4uvpohod.com/zimnie-pohodi/zimniy-marmarosh,yes,10
Западная Ликия,2014-03-30,2014-04-10,Other,Анталия – Фетхие – Овачик – Кабак – Гавурагили – Ксантос – Патара – Калкан – Гекчерен – Каш – Аперлаи – Учагиз – Демре – Анталия.,http://ho4uvpohod.com/ekzoticheskie-pohodi/pohod-po-turcii-zapadnaya-likiya,yes,10
Сказочная Каппадокия,2014-04-11,2014-04-13,Other,Гереме (Каппадокия) - Голубиная долина - Учхисар - Долина любви - Пашабаг - Чавушин - Розовая и Красная долины - Деринкую - каньон Ихлара - Селиме - Open Air Muzeum - Гореме,http://ho4uvpohod.com/ekzoticheskie-pohodi/skazochnaya-kappadokiya,yes,10
Центральная Ликия,2014-04-22,2014-05-03,Other,Анталия — Финике  — Белос — Карлиоз-Тепе — Алакилисе — Зейтин — Белорен — Мира — бухта Адриаке — Чакиль — Симена — Учагиз — Аперле — Апполония — Лиман-Айзы — Каш — Анталия,http://ho4uvpohod.com/ekzoticheskie-pohodi/centralnaya-likiya,yes,10
Сказочная Каппадокия,2014-04-27,2014-04-29,Other,Гереме (Каппадокия) - Голубиная долина - Учхисар - Долина любви - Пашабаг - Чавушин - Розовая и Красная долины - Деринкую - каньон Ихлара - Селиме - Open Air Muzeum - Гореме,http://ho4uvpohod.com/ekzoticheskie-pohodi/skazochnaya-kappadokiya,yes,10
Тропа Святого Павла,2014-04-27,2014-05-08,Other,Анталия - Эгирдир - Довраз - Юкаригекдере - Серпикей - Саграк - Адада - Кандир - Сютчулер - Язил каньон - Асар - Козан - Учан Су - Гекдере - Анталия,http://ho4uvpohod.com/ekzoticheskie-pohodi/peshii-pokhod-po-turtsii-saint-paul-trail,yes,10
Treck Machu Pikchu,2014-04-29,2014-05-14,Other,Лима — Куско — Чачора — Апуримак — Марампата — Чекекирао — Пинчиньок — Маизал — Янама — Тотора — Салкантай — Ла Плайя — Ллактапата — Акуас-Кальентес — Мачу-Пикчу — Морай — Марас — Лима,http://ho4uvpohod.com/ekzoticheskie-pohodi/treking-v-peru-salkantay-trek-k-machu-pikchu,yes,10
Ликийская тропа,2014-04-30,2014-05-11,Other,Анталия - каньон Гойнюк - Гедельме - гора Тахтали Даг 2365 м. - Бейчик - Улупинар  - Химера (вечные огни) - пляжи Чирали - руины Олимпоса - Адрасан - маяк на мысе Гелидония - Мавикент - Пиратская бухта - Караоз - Кумлуджа,http://ho4uvpohod.com/ekzoticheskie-pohodi/peshii-pokhod-po-turtsii-likiiskaya-tropa,yes,10
