name,start_date,end_date,region,track,url,has_guide,available_places
Активное Рождество в Карпатах,2014-01-03,2014-01-07,Carpathian,"",http://tracking.org.ua/kombi/cristmas.html,yes,10
Новый год в Карпатах. Фрирайд на Говерле и Петросе,2014-01-03,2014-01-08,Carpathian,"",http://tracking.org.ua/kombi/freeride_goverla.html,yes,10
Новый год в Карпатах. Фрирайд на Говерле и Петросе,2014-01-13,2014-01-18,Carpathian,"",http://tracking.org.ua/kombi/freeride_goverla.html,yes,10
Новый год в Карпатах. Фрирайд на Говерле и Петросе,2014-01-27,2014-02-01,Carpathian,"",http://tracking.org.ua/kombi/freeride_goverla.html,yes,10
Новый год на Говерле. Поход по Черногорскому хребту,2014-01-11,2014-01-18,Carpathian,"",http://tracking.org.ua/extreme/chernogorsky.html,yes,10
Новый год на Говерле. Поход по Черногорскому хребту,2014-01-25,2014-02-01,Carpathian,"",http://tracking.org.ua/extreme/chernogorsky.html,yes,10
Зимнее восхождение на Говерлу и Петрос,2014-01-25,2014-01-29,Carpathian,"",http://tracking.org.ua/climbing/goverla-petros.html,yes,10
"""Не"" экстремальная неделя в Карпатах",2014-01-27,2014-02-01,Carpathian,"",http://tracking.org.ua/kombi/ski-dragobrat.html,yes,10
Фрирайд на Говерле и Петросе,2014-02-03,2014-02-08,Carpathian,"",http://tracking.org.ua/kombi/freeride_goverla.html,yes,10
Фрирайд на Говерле и Петросе,2014-02-17,2014-02-22,Carpathian,"",http://tracking.org.ua/kombi/freeride_goverla.html,yes,10
Поход по Черногорскому хребту,2014-02-09,2014-02-16,Carpathian,"",http://tracking.org.ua/extreme/chernogorsky.html,yes,10
Поход по Черногорскому хребту,2014-02-22,2014-02-29,Carpathian,"",http://tracking.org.ua/extreme/chernogorsky.html,yes,10
Зимнее восхождение на Говерлу и Петрос,2014-02-08,2014-02-12,Carpathian,"",http://tracking.org.ua/climbing/goverla-petros.html,yes,10
Зимнее восхождение на Говерлу и Петрос,2014-02-15,2014-02-19,Carpathian,"",http://tracking.org.ua/climbing/goverla-petros.html,yes,10
Зимнее восхождение на Говерлу и Петрос,2014-02-22,2014-02-26,Carpathian,"",http://tracking.org.ua/climbing/goverla-petros.html,yes,10
"""Не"" экстремальная неделя в Карпатах",2014-02-03,2014-02-08,Carpathian,"",http://tracking.org.ua/kombi/ski-dragobrat.html,yes,10
"""Не"" экстремальная неделя в Карпатах",2014-02-11,2014-02-17,Carpathian,"",http://tracking.org.ua/kombi/ski-dragobrat.html,yes,10
Поход по Черногорскому хребту,2014-03-09,2014-03-16,Carpathian,"",http://tracking.org.ua/extreme/chernogorsky.html,yes,10
