name,start_date,end_date,region,url
"Чатирдаг, Демерджі та Новий Світ",2013-04-28,2013-05-03,Crimea,http://ukr.marshrut-club.com/routes/9019
Карстовий Крим,2013-04-28,2013-05-03,Crimea,http://ukr.marshrut-club.com/routes/9020
"Чатирдаг, Демерджі та Новий Світ",2013-05-01,2013-05-06,Crimea,http://ukr.marshrut-club.com/routes/8937
Чатирдаг та Демерджі,2013-05-01,2013-05-04,Crimea,http://ukr.marshrut-club.com/routes/8942
Великий каньйон Криму,2013-05-01,2013-05-06,Crimea,http://ukr.marshrut-club.com/routes/8940
Дорогами стародавніх римлян,2013-05-01,2013-05-06,Crimea,http://ukr.marshrut-club.com/routes/9003
Печерні міста та монастирі,2013-05-01,2013-05-06,Crimea,http://ukr.marshrut-club.com/routes/9008
Партизанськими стежками,2013-05-01,2013-05-06,Crimea,http://ukr.marshrut-club.com/routes/9014
"Чатирдаг, Демерджі та Новий Світ",2013-05-07,2013-05-12,Crimea,http://ukr.marshrut-club.com/routes/9046
Карстовий Крим,2013-05-07,2013-05-12,Crimea,http://ukr.marshrut-club.com/routes/9015
Дорогами стародавніх римлян,2013-05-07,2013-05-12,Crimea,http://ukr.marshrut-club.com/routes/9049
"Чатирдаг, Демерджі та Новий Світ",2013-05-09,2013-05-14,Crimea,http://ukr.marshrut-club.com/routes/8938
Чатирдаг та Демерджі,2013-05-09,2013-05-12,Crimea,http://ukr.marshrut-club.com/routes/8987
Партизанськими стежками,2013-05-09,2013-05-14,Crimea,http://ukr.marshrut-club.com/routes/9045
"Чатирдаг, Демерджі та Новий Світ",2013-06-09,2013-06-14,Crimea,http://ukr.marshrut-club.com/routes/8969
Чатирдаг та Демерджі,2013-06-06,2013-06-09,Crimea,http://ukr.marshrut-club.com/routes/8975
Карстовий Крим,2013-06-09,2013-06-14,Crimea,http://ukr.marshrut-club.com/routes/9022
Великий каньйон Криму,2013-06-16,2013-06-21,Crimea,http://ukr.marshrut-club.com/routes/8981
Дорогами стародавніх римлян,2013-06-16,2013-06-21,Crimea,http://ukr.marshrut-club.com/routes/9004
