category,ua,ru,calories,proteins,fats,carbohydrates
1,"Хліб, сухарі, борошняне","Хлеб, сухари, мучное",0,0,0,0
0,"Бублики, сушки","Баранки, сушки",272,8.6,0.5,56.8
0,Батони,Батоны,240,7.5,1,49.5
0,Булки міські,Булки городские,270,7.9,1.9,53
0,"Галети ""Похід""","Галеты ""Поход""",334,12.7,0,68.8
0,Борошно пшеничне,Мука пшеничная,315,8.3,1.4,65.5
0,Борошно житнє,Мука ржаная,315,7.5,1.5,66.2
0,Печиво цукрове,Печенье сахарное,408,9.9,9.8,67.7
0,Печиво сухе,Печенье сухое,424,12,14.6,58.4
0,Пряники,Пряники,334,8.9,0,72.5
0,Сухарі дорожні,Сухари дорожные,340,10.1,1,69
0,Сухарі пшеничні,Сухари пшеничные,335,10.5,1.2,68.5
0,Сухарі житні,Сухари ржаные,306,7.7,1.3,64.1
0,Хліб пшеничний грубий,Хлеб пшеничный грубый,217,6.9,0.4,45.2
0,Хліб пшеничний кращий,Хлеб пшеничный лучший,268,5.8,0.5,56.1
0,Хліб житній,Хлеб ржаной,204,5.1,1,42.5
1,"Молочні продукти, жири","Молочные продукты, жиры",0,0,0,0
0,Бринза 40% жирності,Брынза 40% жирности,237,15.1,18,1.9
0,Маргарин молочний,Маргарин молочный,720,0.4,77.1,0.4
0,Маргарин столовий,Маргарин столовый,780,1,83,0.8
0,Олія соняшникова,Масло подсолнечное,882,0,94.9,0
0,Масло вершкове. вологодське,Масло слив. вологодское,733,0.8,78.2,0.6
0,Масло вершкове. несолоне,Масло слив. несоленое,734,0.4,78.5,0.5
0,Масло вершкове. шоколадне,Масло слив. шоколадное,631,1.2,59,18.9
0,Масло топлене,Масло топленое,869,0,93.5,0
0,Масло бавовняне,Масло хлопковое,881,0,94.7,0
0,Молоко коров'яче сухе,Молоко коровье сухое,469,22.8,24.4,36.3
0,Молоко згущене з цукром,Молоко сгущеное с сахаром,324,6.8,8.3,53.5
0,Молоко згущене без сах.,Молоко сгущеное без сах.,133,5.5,7.7,9.6
0,Молоко сухе,Молоко сухое,480,27.1,24.6,25.8
0,Молоко сухе знежирене,Молоко сухое обезжиренное,338,32.5,0.8,48
0,Вершки згущені з цукром,Сливки сгущеные с сахаром,383,6.2,18.2,45.9
0,Вершки сухі без цукру,Сливки сухие без сахара,566,16.9,40.6,28.9
0,Сир 40% жирності,Сыр 40% жирности,292,22.5,19.9,3.4
0,Сир 45% жирності,Сыр 45% жирности,345,21.2,26.9,2
0,Сир 50% жирності,Сыр 50% жирности,379,21.4,30.3,2.5
0,Сир плавлений 40% жирн.,Сыр плавленый 40% жирн.,254,19.4,17.9,1.9
0,Яєчний порошок,Яичный порошок,522,49.9,34.2,0
0,Сир нежирний,Творог нежирный,75,13,0.5,3.5
0,Сир 9% жирності,Творог 9% жирности,141,12,8.5,3.3
0,Сир 20% жирності,Творог  20% жирности,233,11.1,18.8,3
0,Сиркова маса нежирна,Сырковая масса нежирная,117,11.8,0.5,15.8
0,Сиркова маса жирна,Сырковая масса жирная,333,5.3,21.6,27
1,М'ясні продукти,Мясные продукты,0,0,0,0
0,Баранина тушкована консерв.,Баранина тушеная консерв.,245,15.7,19.3,0.3
0,Шинка,Ветчина,365,14.4,33,0
0,Яловичина конс. з горохом,Говядина конс. с горохом,119,9.3,4.2,10.2
0,Яловичина конс. з макаронів.,Говядина конс. с макарон.,119,6.8,5.4,10.2
0,Яловичина конс. з квасолею,Говядина конс. с фасолью,139,10.2,6.3,9.5
0,Яловичина тушкована консерв.,Говядина тушеная консерв.,186,16.5,12.4,0.4
0,Грудинка копчена,Грудинка копченая,545,9.5,54.9,0
0,Жир баранячий топлений,Жир бараний топленый,897,0,99.7,0
0,Жир яловичий топлений,Жир говяжий топленый,897,0,99.7,0
0,Жир свинячий топлений,Жир свиной топленый,897,0,99.7,0
0,Сніданок туриста (ялов.),Завтрак туриста (говяд.),176,20.5,10.4,0
0,Ковбаса напівкопчена,Колбаса полукопченая,370,13.5,35,0
0,Ковбаса сирокопчена,Колбаса сырокопченая,431,20.4,37.4,0
0,Ковбасний фарш консерв.,Колбасный фарш консерв.,213,15.2,15.7,2.8
0,Комбіжир,Комбижир,879,0,94.5,0
0,Корейка копчена,Корейка копченая,549,10.5,54,0
0,Куряче філе консерв.,Куриное филе консерв.,113,19.8,3.4,0.1
0,Мізки консерв. смажені,Мозги консерв. жареные,244,12,20.6,1
0,М'ясо смажене консерв.,Мясо жареное консерв.,250,28,15,0
0,М'ясо консервоване,Мясо консервированное,113,15,17,0.7
0,М'ясо сублімоване,Мясо сублимированное,600,30,50,0
0,Паштет консерв.мясний,Паштет консерв.мясной,174,10.7,12.6,3.1
0,Паштет консерв.печінковий,Паштет консерв.печеночный,302,15.6,25.2,1
0,Нирки консерв.в томат.соусі,Почки консерв.в томат.соусе,147,17,6.1,3.2
0,Сало свиняче солене,Сало свиное соленое,739,1.8,78.6,0
0,Свинина консерв.с квасолею,Свинина консерв.с фасолью,126,5.1,6.3,11.9
0,Свинина м'ясна,Свинина мясная,121,20.4,4,0
0,Свинина тушкована консерв.,Свинина тушеная консерв.,286,19.3,21.5,1.7
0,"Свинина (карбонат, рулет) сублімоване","Свинина (карбонат, рулет) сублимир.",480,81.4,16,0
0,Солонина,Солонина,94,15,3.5,0
0,Фарш м'ясний сублімований,Фарш мясной сублимированный,550,75,20,0
0,Язик ялов.консерв.в желе,Язык говяж.консерв.в желе,215,16.6,16,1.8
1,Рибні продукти,Рыбные продукты,0,0,0,0
0,Вобла в'ялена,Вобла вяленая,235,46.4,5.5,0
0,Вобла копчена,Вобла копченая,181,31.1,6.3,0
0,Вобла сушена,Вобла сушеная,229,42.9,5.8,0
0,Горбуша у власн.соку,Горбуша в собств.соку,144,18.9,7,0.5
0,Ікра чорна зерниста,Икра черная зернистая,236,25.4,14.2,0
0,Ікра чорна паюсна,Икра черная паюсная,293,34.2,16.4,0
0,Камбала в томаті,Камбала в томате,137,13.7,6.3,4.8
0,Кілька пряного посолу,Килька пряного посола,150,13.5,9.5,0
0,Кета у власн.соку,Кета в собств.соку,133,21.5,4.8,0
0,Кета солона,Кета соленая,83,10.3,4.4,0
0,Кефаль в маслі,Кефаль в масле,336,15.6,29.2,0.3
0,Корюшка копч.в маслі,Корюшка копч.в масле,340,23.2,26.3,0
0,Лящ в томаті,Лещ в томате,134,14.1,7,2.8
0,Лящ копчений,Лещ копченый,160,29.7,4.6,0
0,Осетер у власн.соку,Осетр в собств.соку,159,15.1,10,1
0,Печінка минтая по Приморському,Печень минтая по приморски,474,6,50,0
0,Печінка тріски бланшов.,Печень трески бланширов.,558,3.9,57,0
0,Печінка тріски у власн.соку,Печень трески в собств.соку,628,4.2,65.2,1.2
0,Печінка тріски в томаті,Печень трески в томате,530,3.6,54.1,2.9
0,Риба консервована в маслі,Рыба консервированная в масле,625,4,62.5,1.5
0,Салака копч.в маслі,Салака копч.в масле,376,17.4,32.4,0
0,Сардини бланшов.,Сардины бланширов.,281,17.2,22.6,0
0,Севрюга в томаті,Севрюга в томате,186,16.1,11.5,2.8
0,Оселедець бланшов.,Сельдь бланширов.,335,14.6,29.6,0
0,Оселедець копчена,Сельдь копченая,103,12.6,5.5,0
0,Оселедець солоний,Сельдь соленая,129,10.8,8.1,0
0,Сом в томаті,Сом в томате,122,11.9,6,4.3
0,Судак бланшов.,Судак бланширов.,286,19,22.2,0
0,Судак у власн.соку,Судак в собств.соку,116,22.8,2.4,0
0,Судак в томаті,Судак в томате,115,12.9,5,3.7
0,Тріска копч.в маслі,Треска копч.в масле,329,20.7,22.9,0
0,Шпроти в олії,Шпроты в масле,354,16,30.8,0.7
0,Щука в томаті,Щука в томате,103,10,3.8,3.6
1,"Крупи, макаронні вироби","Крупы, макаронные изделия",0,0,0,0
0,Горох,Горох,293,15.7,2.2,50.1
0,Гречка,Гречка,317,8.8,2.3,63.4
0,Кукурудза,Кукуруза,340,8.4,4.3,64.9
0,"Макарони, локшина, вермішель","Макароны,лапша,вермишель",336,9.3,0.8,70.9
0,Манка,Манка,334,9.5,0.7,70.4
0,Вівсянка,Овсянка,336,8.9,5.9,59.8
0,"Вівсяні пластівці ""Геркулес""","Овсяные хлопья ""Геркулес""",305,11,6.2,50.1
0,Перлова,Перловая,310,6.3,1.2,66.2
0,"Пшенична крупа ""Артек""","Пшеничная крупа ""Артек""",326,12.5,0.7,71.8
0,Пшоно,Пшено,324,8.4,2.3,62.4
0,Рис,Рис,334,6.7,0.9,72.8
0,Толокно,Толокно,359,11.6,5.9,62.7
0,Квасоля,Фасоль,292,16.2,1.9,50.7
0,Ячна,Ячневая,310,6.3,1.2,66.2
1,Концентрати,Концентраты,0,0,0,0
0,Борщ консерв.,Борщ консерв.,90,2.2,4.9,8.8
0,Каша,Каша,100,0,0,0
0,Кубики бульйонні,Кубики бульонные,100,3,5,10
0,Розсольник консерв.,Рассольник консерв.,102,3,5,11.8
0,Супи в пакетах,Супы в пакетах,400,3,5,10
0,Щі з свіж.капусти конс.,Щи из свеж.капусты конс.,86,2.2,5,8.1
1,"Цукор, кондитерські вироби","Сахар, кондитерские изделия",0,0,0,0
0,Батончики горіхові,Батончики ореховые,501,9.9,33.6,39.7
0,Варення,Варенье,300,0.3,0,74.2
0,Глюкоза з вітамінами,Глюкоза с витаминами,405,0,0,99
0,Драже помадне,Драже помадное,360,1.1,2.3,83.9
0,Драже горіхове в шоколаді,Драже ореховое в шоколаде,484,5.4,17.5,66.1
0,Зефір,Зефир,314,0,0,78.5
0,"Ірис ""Золотий ключик""","Ирис ""Золотой ключик""",385,3.9,9,72.2
0,Карамель льодяникова,Карамель леденцовая,357,0,0,89.2
0,Карамель з помадною начинкою,Карамель с помадной начинкой,333,0,0,83.4
0,Карамель з фруктовою начинкою,Карамель с фруктовой начинкой,330,0,0,82.6
0,Карамель з шок.-горіховою начинкою,Карамель с шок.-ореховой начинкой,400,3.2,9.2,76.5
0,Цукерки шок.грільяж,Конфеты шок.грильяж,514,5.4,27,62.2
0,Цукерки шок.помадні,Конфеты шок.помадные,390,3.6,9.9,71.8
0,Цукерки шок.фруктові,Конфеты шок.фруктовые,356,2.5,8.7,66.6
0,Мармелад желейний формовий,Мармелад желейный формовой,280,0,0,69.9
0,Мармелад яблучний формовий,Мармелад яблочный формовой,255,0,0,64.7
0,Мед,Мед,318,0.3,0,77.2
0,Пастила,Пастила,323,0,0,80.4
0,Повидло яблучне,Повидло яблочное,250,0.3,0,62
0,Помадка фруктова,Помадка фруктовая,346,0,0,86.5
0,Цукор,Сахар,400,0,0,99.8
0,Тягучка вершкова,Тянучка сливочная,405,3.1,9.1,73.7
0,Халва арахісова,Халва арахисовая,498,16.7,30.4,39.2
0,Халва соняшникова,Халва подсолнечная,506,18.8,31.5,36.7
0,Халва тахінна,Халва тахинная,510,13.9,32.5,40.3
0,Шоколад ванільний,Шоколад ванильный,542,5.1,33.1,55.3
0,"Шоколад ""Золотий ярлик""","Шоколад ""Золотой ярлык""",547,6.3,37.2,46.5
0,Шоколад молочний десертний,Шоколад молочный десертный,556,6.9,39.9,44.2
1,Овочі,Овощи,0,0,0,0
0,Горошок зелений консерв.,Горошек зеленый консерв.,37,2.3,0,6.8
0,Гриби білі,Грибы белые,32,0.8,0.8,5
0,Гриби білі сушені,Грибы белые сушеные,362,30.2,12.6,29.3
0,"Ікра баклажанна, кабачк.","Икра баклажанная,кабачк.",128,1.6,10.3,6.8
0,Капуста сушена,Капуста сушеная,244,13.5,0,47.6
0,Картопля,Картофель,86,1.7,0,20
0,Картопля сушена чи крупка,Картофель сушеный или крупка,315,6.1,0,72.3
0,Цибуля ріпчаста,Лук репчатый,44,2,0,8.9
0,Цибуля ріпчаста сушена,Лук репчатый сушеный,264,16,0,47.8
0,Маслюки свіжі,Маслята свежие,21,1.7,0.3,3.3
0,Морква,Морковь,34,1,0,7.4
0,Морква сушена,Морковь сушеная,270,13,0,54.6
0,Опеньки свіжі,Опята свежие,23,1.7,0.5,3.8
0,Перець фарширов.консерв.,Перец фарширов.консерв.,101,1.4,6.3,9.9
0,Буряк,Свекла,40,1.2,8.8,8.8
0,Буряк сушений,Свекла сушеная,248,7.4,0,54.3
0,Часник,Чеснок,115,5.4,0,21.6
1,"Фрукти, ягоди","Фрукты, ягоды",0,0,0,0
0,Груші сушені,Груши сушеные,248,2.3,0,62.1
0,Ізюм (виноград вял.з кіст),Изюм (виноград вял.с кост),291,1.8,0,70.9
0,Кишмиш (виноград вял.без кіст),Кишмиш (виноград вял.без кост),294,2.3,0,71.2
0,Курага (абрикоси вял.без кіст),Курага (абрикосы вял.без кост),284,5.2,0,65.9
0,Курага (персики вял.без кіст),Курага (персики вял.без кост),286,3,0,68.5
0,Мигдаль,Миндаль,575,18.2,50.5,11.9
0,Горіхи волоські,Орехи грецкие,621,13.6,56,11.7
0,Горіхи лісові,Орехи лесные,636,14.1,60.8,7.7
0,Горіхи кедрові,Орехи кедровые,654,16.2,60,12.3
0,Сухофрукти в асортименті,Сухофрукты в ассортименте,260,3,0,62
0,Урюк (абрикоси вял.з кіст.),Урюк (абрикосы вял.с кост.),290,5,0,67.5
0,Чорнослив,Чернослив,272,2.3,0,65.6
0,Яблука сушені,Яблоки сушеные,285,3.2,0,68
0,Яблука свіжі,Яблоки свежие,48,0.3,0,11.5
0,Смородина чорна,Смородина черная,43,0.7,0,9.8
0,Смородина червона,Смородина красная,44,0.5,0,10.5
0,Малина,Малина,41,0.9,0,9.2
0,Суниця,Земляника,43,1.5,0,8.9
0,Абрикоси,Абрикосы,47,0.5,0,10.9
0,"Слива, алича","Слива, алыча",54,0.6,0,12.6
0,Журавлина,Клюква,39,0.3,0,8.6
0,Кавун,Арбуз,33,0.5,0,7.7
0,Диня,Дыня,42,0.6,0,9.6
0,Лимон,Лимон,40,0.5,0,9.3
1,Напої,Напитки,0,0,0,0
0,Какао порошок,Какао порошок,350,23.6,20.2,17.9
0,Кисіль фрукт-ягідн.конц.сухий,Кисель фрукт-ягодн.конц.сухой,100,0.2,0,17.3
0,Кава розчинна,Кофе растворимый,300,3.5,3.6,0
0,Кава мелена,Кофе молотый,300,3.5,3.6,0
0,Соки концентровані сухі,Соки концентрированные сухие,100,0.4,0,25
0,Чай,Чай,0,0,0,0
1,"Приправи, спеції","Приправы, специи",0,0,0,0
0,Гірчиця,Горчица,1,0,0,0
0,Лавровий лист,Лавровый лист,1,0,0,0
0,Перець,Перец,1,0,0,0
0,Сіль,Соль,0,0,0,0
0,Томатна паста,Томатная паста,76,3.5,0,15
